"US Chief Financial Officers at PUBLIC COMPANIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Executive Basics","","","","","","","","Company Information (May 2018)","","","","","","","","Executive's Current Role Info","","","DD-MON-YY","DD-MON-YY","","","","","","Prior Company Information","","","","","Est. Years of Experience: Finance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Self-Reported Education","","","","","","",""
"","Family Name","Preferred First Name","Full Name","CapIQ Person ID#","Assumed Birthyear","Reported Age (May 2018)","Gender","Nationality","Company Name (Common)","2018 Fortune Ranking","Company Type","RRA-Defined Sector","Rev (LFY;USD,MM)
180713","Market Cap (LQ Avg;USD,MM)
1807132","Employees","Website","Role Title","Moved to Non-Finance Role?","First-time CFO?","Date assumed CFO role @ current company","Date joined current company","Tenure in Current Role","Tenure at Current Company","Internal or External Hire to Current Role?","If Internal, Role Title before Chief Financial Officer","If Internal, Function before Chief Financial Officer","Name of Prior Company","Prior Company RRA-Defined Industry Sector","Prior Company Type during Executive's Tenure","Title of Last Role Held at Prior Company","Last Function at Prior Company","Finance (all)","Public Company Chief Financial Officer","Accounting/Controls","Audit","Corporate Development","Divisional Chief Financial Officer","FP&A","Investor Relations","M&A","Executive Vice President/SVP/VP, Finance","Treasury","Tax","Other Finance","Public Account Experience","Chief Executive Officer","Divisional/Regional GM","Corporate Strategy","Investment Banking","Private Equity","Venture Capital","All RRA-Defined Sector Experience","Industry: Consumer?","Industry: Financial Services?","Industry: Healthcare?","Industry: IN&R?","Industry: Tech?","Industry: Nonprofit?","Countries Where Worked","US","Canada","Mexico","Central/South America (Not North America)","UK","Continental Europe","Middle-East","Asia","Africa","IPO Experience?","Undergraduate College or University","Undergraduate Area of Study","Undergraduate Year","MBA?","MBA Institution","Year MBA Earned","Non-MBA Graduate Degree(s) and Dates","Graduate College or University(ies)"
"","Biggs","Brett","M Brett Biggs","IQ313897242","1968","50","Male","","Wal-Mart Stores","1","Public Company","Consumer","  500,343.0 ","  251,621.2 ","  2,300,000 ","www.stock.walmart.com","Executive Vice President/Chief Financial Officer","","No","1-Jan-12","1-Jan-00","  6.6 ","  18.6 ","Internal","Senior Vice President - Global Finance,International Strategy, and Mergers and Acquisitions","Other","Sam's West Inc","Consumer","Private ","Chief Financial Officer","M&A","27","5","5","1","None","4","None","None","12","None","None","None","10","1","None","None","7","2","None","None","","17","None","None","4","1","None","US","27","None","None","None","None","None","None","None","None","None","Harding University","Business Administration","1990","Yes","Oklahoma State University","1996","No","NA"
"","Hamburg","Marc","Marc D Hamburg","IQ255258","1949","69","Male","American","Berkshire Hathaway","3","Public Company","Financial Services ","  239,289.0 ","  478,014.6 ","  377,291 ","www.berkshirehathaway.com","Senior Vice President/Chief Financial Officer","","Yes","1-Oct-92","1-Jun-87","  25.8 ","  31.2 ","Internal","Treasurer","Treasury","Unknown","Unknown","Unknown","Unknown","NA","30","25","None","None","None","None","None","None","None","None","5","None","None","None","None","None","None","None","None","None","","None","None","None","30","None","None","US","30","None","None","None","None","None","None","None","None","None","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"","Maestri","Luca","Luca Maestri","IQ249216097","1964","54","Male","Italian","Apple","4","Public Company","Technology ","  229,234.0 ","  917,242.4 ","  123,000 ","www.apple.com","Senior Vice President/Chief Financial Officer","","No","29-May-14","1-Mar-13","  4.2 ","  5.4 ","Internal","Vice President/Corporate Controller/Principal Accounting Officer ","Accounting","XEROX CORP","Technology","Public","Corporate Executive Vice President/Chief Financial Officer","Accounting","30","6","6","2","None","2","None","None","None","None","6","6","20","None","None","None","None","None","None","None","","None","None","None","20","7","None","US, Finland and Switzerland","25","None","None","None","None","None","None","None","None","None","Luiss Guido Carli University","Economics","1988","No","NA","NA","Master in Science of Management, Business Administration and Finance, 1991","Boston University"
"","Vitalone","Britt","Britt Vitalone","IQ548278304","Unknown","Unknown","Male","","McKesson","6","Public Company","Healthcare ","  208,357.0 ","  29,284.4 ","  64,500 ","www.mckesson.com","Executive Vice President/Chief Financial Officer","","Yes","1-Jan-18","1-Feb-06","  0.6 ","  12.5 ","Internal","Senior Vice President/Division Chief Financial Officer","Divisional CFO","GE Financial Assurance Inc","Financial Services","Private","VP, Controller","Other","17","None","6","None","None","4","2","None","2","8","None","None","4","None","None","None","None","None","None","None","Financial Services, Healthcare ","None","4","12","None","None","None","US","Unable to Calculate ","None","None","None","None","None","None","None","None","None","St John Fisher College ","Accounting","Unknown","No","NA","NA","No","NA"
"","Rex","John","John F Rex","IQ347550900","1962","56","Male","","UnitedHealth Group","5","Public Company","Healthcare ","  201,159.0 ","  236,868.6 ","  260,000 ","www.unitedhealthgroup.com","Executive Vice President/Chief Financial Officer","","No","1-Mar-12","1-Mar-12","  6.4 ","  6.4 ","External","NA","NA","JP Morgan Chase Community Development Corp ","Financial Services","Private ","Managing Director/Analyst - Healthcare","Other","5","5","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","Healthcare, Financial Services ","None","Unable to calculate","6","None","None","None","US","Unable to calculate","None","None","None","None","None","None","None","None","None","Brigham Young University","Economics ","Unknown","No","NA","NA","No","NA"
"","Denton","David","David M Denton","IQ42075995","1965","53","Male","","CVS Health","7","Public Company","Healthcare ","  184,765.0 ","  67,602.9 ","  203,000 ","www.cvshealth.com","Executive Vice President/Chief Financial Officer","","Yes","1-Jan-10","1-Jul-99","  8.6 ","  19.1 ","Internal","Senior Vice President/Chief Accounting Officer/Controller","Accounting","Deloitte & Touche LLP","Technology","Partnership","Unknown","Unknown","13","8","15","None","None","None","None","None","None","3","None","None","12","6","None","None","None","None","None","None","","None","None","19","None","4","None","US","35","None","None","None","None","None","None","None","None","None","Kansas State University","Business Administration","1987","Yes","Wake Forest University, Babcock Graduate School of Management
","1989","No","NA"
"","Stevens","Chuck","Charles (Chuck) K Stevens III","IQ254186194","1959","59","Male","","General Motors","10","Public Company","Industrial and Natural Resources ","  145,588.0 ","  56,002.9 ","  180,000 ","www.gm.com","Executive Vice President/Chief Financial Officer","","Yes","1-Jan-06","1-Jan-78","  12.6 ","  40.6 ","Internal","Chief Financial Officer - North America ","Divisional CFO","NA","NA","NA","NA","NA","21","4","None","None","None","8","None","None","None","None","None","None","11","None","None","None","None","None","None","None","Industrial and Natural Resources","None","None","None","40","None","None","US","40","None","None","None","None","None","None","None","None","None","Kettering University  ","Industrial Administration ","Unknown","Yes","University of Michigan, Flint ","Unknown","No","NA"
"","Stephens","John","John Joseph Stephens","IQ25165654","1959","59","Male","","AT&T","9","Public Company","Technology ","  160,546.0 ","  215,464.5 ","  249,240 ","www.att.com","Senior Executive Vice President/Chief Financial Officer","","Yes","1-Jun-11","1-Jan-92","  7.2 ","  26.6 ","Internal","Senior Vice President/Controller","Controllership","Ernst & Young Inc","Technology","Private ","Senior Manager, Tax ","Tax","25","6","6","None","None","None","None","None","None","None","None","None","19","Unable to calculate","None","None","None","None","None","None","Industrial and Natural Resources","None","None","None","26","Unable to calculate","None","US","26","None","None","None","None","None","None","None","None","None","Rockhurst College ","Unknown","Unknown","No","NA","NA","No","Saint Louis University School of Law "
